"date","country","capital_city","GDP_2019","population_2019","population_density_2019","GINI_2019","child_mortality_2019","median_age_2018","life_exp_diff","confirmed_inf","recovered","deaths"
2021-05-23,Angola,Luanda,99013511554.0281,31825299,25.527632148873025,,74.7,15.9,20.296000000000006,32441,26778,725
2021-05-23,Uzbekistan,Toskent,82758175956.1216,33580350,75.05666070630309,,17.4,30.1,10.204999999999998,98451,93930,680
2021-05-23,Qatar,Doha,179217942578.244,2832071.0,257.461,,6.5,33.7,14.891999999999996,215443,210942,544
2021-05-23,Mali,Bamako,15564361128.3683,19658023,15.850790038961708,,94.0,16.1,28.019999999999992,14241,9442,514
2021-05-23,Mauritania,Nouakchott,7947658540.65456,4525698.0,4.413076293002574,,72.9,21.0,16.068000000000005,19149,18266,458
2021-05-23,Malta,Valletta,14693193755.8639,504062.0,1595.132911392405,,7.0,42.3,11.609000000000009,30504,30006,417
2021-05-23,Trinidad and Tobago,Port-of-Spain,20813796850.5805,1394969.0,271.9237816764132,,17.5,37.8,9.033000000000001,20017,11480,375
2021-05-23,Guyana,Georgetown,4791930565.95283,782775.0,3.6413389837604493,,29.3,27.5,8.105000000000004,16130,13745,359
2021-05-23,Uganda,Kampala,42611046912.3588,44269587,183.66227316854605,,45.8,15.7,14.053000000000004,43734,42880,356
2021-05-23,Cyprus,Nicosia,28678642449.9536,1198574.0,129.5615609123338,,2.3,37.9,9.152999999999992,71911,39061,354
2021-05-23,Rwanda,Kigali,11378688845.0701,12626938,479.41901435188703,,34.3,19.7,23.416000000000004,26688,25097,349
2021-05-23,Lesotho,Maseru,2620539142.02025,2125267.0,70.0137374402899,,86.4,24.7,2.0230000000000032,10822,6431,326
2021-05-23,Belize,Belmopan,1657330387.24262,390351.0,17.19910997532605,,12.3,23.9,11.210999999999991,12764,12358,323
2021-05-23,Haiti,Port-au-Prince,14022671611.2262,11263079,405.8767207207207,,62.8,24.1,18.648000000000003,13735,12507,280
2021-05-23,Mongolia,Ulan Bator,14037996021.8536,3225166.0,2.0588356208107244,,15.6,29.8,16.65,53100,46748,253
2021-05-23,Suriname,Paramaribo,4849687781.66855,581363.0,3.560855051603222,,18.0,31.0,9.902999999999992,13111,10785,249
2021-05-23,Niger,Niamey,13127408384.9827,23310719,18.398357537490135,,80.4,14.8,25.195999999999998,5383,5034,192
2021-05-23,Nicaragua,Managua,11636367322.8691,6545503.0,50.35002307692308,,16.6,27.3,23.433,7193,4225,185
2021-05-23,Cambodia,Phnom Penh,20920953617.9811,16486542,91.06825751926424,,26.6,26.4,26.554000000000002,25205,17701,176
2021-05-23,Gambia,Banjul,1913886426.74237,2347696.0,207.85267817618416,,51.7,21.8,26.812999999999995,5968,5727,175
2021-05-23,Chad,N'Djam,12976290262.3871,15946882,12.419690031152648,,113.8,16.1,13.793,4924,4729,173
2021-05-23,Burkina Faso,Ouagadougou,16708316591.3587,20321383,74.1656313868613,,87.5,17.9,23.104,13415,13230,165
2021-05-23,Guinea,Conakry,11783690378.4894,12771246,51.94583029972708,,98.8,19.1,23.857999999999997,22988,20699,158
2021-05-23,Papua New Guinea,Port Moresby,21844189017.075,8776119.0,18.961453201970443,,44.8,24.0,21.265,14910,13801,154
2021-05-23,Djibouti,Djibouti,,973557.0,41.96366379310345,,57.5,24.9,17.970000000000006,11493,11335,153
2021-05-23,Gabon,Libreville,19938879843.2225,2172578.0,8.116689331559993,,42.5,21.0,22.261999999999993,24107,20976,147
2021-05-23,Comoros,Moroni,1190720126.0477,850891.0,456.97690655209453,,62.9,20.9,20.025,3872,3713,146
2021-05-23,Maldives,Male,4500657090.09943,530957.0,1781.734899328859,,7.6,29.5,37.131,55924,32322,129
2021-05-23,Andorra,Andorra la Vella,3545618454.19594,77146.0,164.84188034188034,,3.0,46.2,12.054999999999993,13569,13234,127
2021-05-23,Togo,Lomé,5634321101.60172,8082359.0,142.3326406621467,,66.9,20.0,16.454,13374,12278,125
2021-05-23,South Sudan,Juba,,11062114,17.84946066527362,,96.2,18.6,23.026999999999994,10652,10462,115
2021-05-23,Equatorial Guinea,Malabo,12488757320.2081,1355982.0,48.3398809311611,,81.8,20.3,19.153999999999996,8436,7801,113
2021-05-23,Benin,Porto-Novo,14867186407.8376,11801151,104.78548596189022,,90.3,17.0,20.993000000000002,8025,7893,101
2021-05-23,Central African Republic,Bangui,1823368094.29471,4745179.0,7.616855328547763,,110.1,20.0,12.127000000000002,7079,6665,97
2021-05-23,San Marino,San Marino,1723484312.19022,33864.0,555.1475409836065,,1.7,45.2,12.698999999999998,5087,4974,90
2021-05-23,Tajikistan,Dushanbe,10469305367.7764,9321023.0,65.13642907058001,,33.8,25.3,17.970999999999997,13308,13218,90
2021-05-23,Liberia,Monrovia,2548948906.87729,4937374.0,44.3334680207239,,84.6,18.0,25.945,2142,2022,85
2021-05-23,Sierra Leone,Freetown,3819767396.44383,7813207.0,108.91005018120993,,109.2,19.1,19.351,4121,3113,79
2021-05-23,Guinea-Bissau,Bissau,1190061574.24828,1920917.0,53.17417301038062,,78.5,18.0,17.955,3751,3495,68
2021-05-23,Liechtenstein,Vaduz,,38020.0,237.625,,,43.7,11.048000000000002,3000,2910,58
2021-05-23,Barbados,Bridgetown,4621053250,287021.0,667.4906976744186,,12.7,39.5,11.525999999999996,3995,3922,47
2021-05-23,Vietnam,Hanoi,200857611961.483,96462108,290.8209437153478,,19.9,31.9,13.146999999999998,5275,2721,43
2021-05-23,Antigua and Barbuda,Saint John's,1499945610.88944,97115.0,219.71719457013575,,6.6,32.7,12.081999999999994,1257,1192,42
2021-05-23,Sao Tome and Principe,S,279700465.065153,215048.0,223.07883817427387,,29.8,19.3,16.48599999999999,2338,2284,37
2021-05-23,Seychelles,Victoria,1389458504.14094,97625.0,214.56043956043956,,14.2,36.8,8.597999999999999,9764,7826,35
2021-05-23,Monaco,Monaco-Ville,8152851305.84648,38967.0,25978.0,,3.1,55.4,14.49299999999998,2501,2460,32
2021-05-23,Singapore,Singapore,338646194792.894,5703569.0,9229.076051779935,,2.5,35.6,15.994000000000014,61824,61294,32
2021-05-23,Iceland,Reykjav,18696066454.1507,360563.0,3.5006116504854368,,2.0,37.1,8.929000000000016,6555,6476,29
2021-05-23,New Zealand,Wellington,193990956137.538,4979300.0,18.40544996192715,,4.7,37.2,10.487000000000009,2668,2615,26
2021-05-23,Tanzania,Dodoma,55482146264.3125,58005461,65.63567370373262,,50.3,18.2,18.119999999999997,509,183,21
2021-05-23,Mauritius,Port-Louis,13786807917.4414,1265711.0,620.446568627451,,16.0,36.3,12.042000000000002,1293,1161,17
2021-05-23,Eritrea,Asmara,,,,,40.5,20.3,23.442999999999998,3932,3711,14
2021-05-23,Burundi,Bujumbura,2399222219.78424,11530577,414.26230509448874,,56.5,17.7,17.285000000000004,4494,773,6
2021-05-23,Laos,Vientiane,13297021402.1408,7169456.0,30.276418918918917,,45.5,24.0,21.818000000000005,1801,1074,2
2021-05-23,Bhutan,Thimphu,2489357934.58305,763094.0,16.23604255319149,,28.5,29.1,33.674,1394,1186,1
2021-05-23,Grenada,Saint George's,1033392538.93688,112002.0,325.58720930232556,,16.5,33.3,8.283999999999992,161,160,1
2021-05-23,Vanuatu,Port-Vila,859398085.646096,299882.0,24.602674542620395,,25.9,23.0,18.175000000000004,4,3,1
2021-05-23,Dominica,Roseau,496232291.585265,71808.0,95.61651131824235,,34.7,34.9,11.817000000000007,184,176,0
2021-05-23,Marshall Islands,Dalap-Uliga-Darrit,187517718.068453,58791.0,324.8121546961326,,31.8,23.8,16.698,4,4,0
2021-05-23,Samoa,Apia,762625022.856476,197093.0,69.61956905687036,,15.0,25.6,14.39,3,3,0
2021-05-23,Solomon Islands,Honiara,1171912237.79978,669821.0,23.180405592469548,,19.7,23.5,20.016000000000005,20,20,0
